iter	Passed	Remaining
428	1831	2437
429	1835	2433
430	1839	2428
431	1843	2424
432	1848	2420
433	1852	2415
434	1856	2411
435	1860	2406
436	1864	2401
437	1867	2396
438	1871	2391
439	1876	2387
440	1880	2383
441	1884	2378
442	1888	2374
443	1892	2369
444	1896	2365
445	1900	2360
446	1904	2356
447	1908	2351
448	1913	2347
449	1917	2343
450	1922	2340
451	1926	2335
452	1930	2331
453	1935	2327
454	1939	2323
455	1944	2319
456	1948	2314
457	1951	2309
458	1956	2305
459	1960	2301
460	1963	2296
461	1967	2291
462	1972	2287
463	1976	2282
464	1981	2279
465	1988	2278
466	1995	2277
467	1999	2273
468	2004	2269
469	2008	2264
470	2012	2260
471	2016	2255
472	2020	2250
473	2024	2246
474	2028	2242
475	2033	2238
476	2037	2234
477	2041	2229
478	2045	2225
479	2050	2220
480	2054	2216
481	2058	2211
482	2062	2207
483	2066	2203
484	2070	2198
485	2075	2194
486	2079	2190
487	2083	2185
488	2087	2181
489	2091	2176
490	2095	2172
491	2098	2167
492	2103	2163
493	2107	2159
494	2111	2154
495	2116	2150
496	2119	2145
497	2124	2141
498	2129	2137
499	2133	2133
500	2138	2129
501	2142	2125
502	2146	2120
503	2150	2116
504	2154	2111
505	2158	2107
506	2162	2103
507	2166	2098
508	2170	2094
509	2175	2090
510	2179	2085
511	2183	2081
512	2187	2077
513	2192	2072
514	2196	2068
515	2200	2063
516	2204	2059
517	2208	2054
518	2212	2050
519	2216	2045
520	2220	2041
521	2224	2037
522	2228	2032
523	2232	2027
524	2235	2022
525	2239	2018
526	2243	2013
527	2247	2009
528	2252	2005
529	2256	2001
530	2260	1996
531	2265	1992
532	2269	1988
533	2273	1984
534	2277	1979
535	2281	1975
536	2285	1970
537	2289	1966
538	2293	1961
539	2297	1957
540	2301	1952
541	2305	1948
542	2309	1943
543	2313	1939
544	2317	1935
545	2322	1931
546	2326	1926
547	2331	1922
548	2335	1918
549	2338	1913
550	2342	1909
551	2347	1905
552	2351	1900
553	2355	1896
554	2359	1891
555	2363	1887
556	2367	1882
557	2371	1878
558	2375	1873
559	2379	1869
560	2383	1865
561	2387	1861
562	2392	1856
563	2396	1852
564	2400	1848
565	2404	1843
566	2407	1838
567	2412	1834
568	2416	1830
569	2420	1826
570	2424	1821
571	2428	1817
572	2433	1813
573	2437	1808
574	2441	1804
575	2445	1800
576	2449	1795
577	2453	1791
578	2457	1786
579	2461	1782
580	2465	1777
581	2469	1773
582	2473	1769
583	2478	1765
584	2482	1761
585	2486	1756
586	2489	1751
587	2493	1747
588	2498	1743
589	2502	1738
590	2506	1734
591	2510	1730
592	2514	1726
593	2519	1721
594	2523	1717
595	2528	1713
596	2532	1709
597	2536	1705
598	2541	1701
599	2545	1697
600	2549	1692
601	2553	1688
602	2558	1684
603	2562	1680
604	2566	1675
605	2570	1671
606	2574	1666
607	2578	1662
608	2582	1657
609	2586	1653
610	2590	1649
611	2594	1644
612	2599	1640
613	2603	1636
614	2607	1632
