iter	Logloss
182	0.2155405046
183	0.2151201376
184	0.2147382938
185	0.2138464699
186	0.2134416363
187	0.2129497088
188	0.2124525553
189	0.2119371923
190	0.2115339277
191	0.2111830271
192	0.2108907628
193	0.2102994739
194	0.2098347963
195	0.2094120187
196	0.2089802046
197	0.2086073847
198	0.208160611
199	0.2077090596
200	0.2073921604
201	0.2070472901
202	0.2065552895
203	0.2062140808
204	0.2058572365
205	0.2055882704
206	0.2052332683
207	0.2046462954
208	0.2042148935
209	0.2037685239
210	0.2034383896
211	0.2028830382
212	0.2024354179
213	0.2019473185
214	0.2015953939
215	0.2009600439
216	0.2004864064
217	0.2001986573
218	0.199838774
219	0.1994863791
220	0.1991267294
221	0.1985302647
222	0.1980492573
223	0.1976593588
224	0.1972684113
225	0.1969507817
226	0.1963206466
227	0.1959751172
228	0.1956061698
229	0.1950478445
230	0.1947857973
231	0.1944102334
232	0.1939285693
233	0.1934668552
234	0.1930904285
235	0.1928081975
236	0.1925783374
237	0.1921081224
238	0.1917026474
239	0.1911705478
240	0.1906669168
241	0.1903409983
242	0.1899243499
243	0.1895983919
244	0.189207742
245	0.188780317
246	0.1881962091
247	0.1878518428
248	0.1874846206
249	0.1870884449
250	0.186602662
251	0.1861734846
252	0.1857478193
253	0.1854302058
254	0.1850711242
255	0.1847409072
256	0.184424063
257	0.1840710384
258	0.183638245
259	0.1834235872
260	0.1829582948
261	0.1825285241
262	0.182220778
263	0.1817948276
264	0.1815060371
265	0.181153747
266	0.1808971656
267	0.1806265282
268	0.1803688815
269	0.180012395
270	0.1795819156
271	0.1792211393
272	0.1788247547
273	0.1785270435
274	0.1781784786
275	0.1777881328
276	0.1772698015
277	0.1770635775
278	0.1765795127
279	0.1761308541
280	0.1757889894
281	0.1755284067
282	0.1752090721
283	0.1749704805
284	0.1744930381
285	0.1741938504
286	0.1737824766
287	0.1734546866
288	0.1729309058
289	0.172577736
290	0.1721353532
291	0.171753684
292	0.1713523703
293	0.170899651
294	0.1706377963
295	0.1702120031
296	0.1699104628
297	0.1696789164
298	0.1692430306
299	0.1688573842
300	0.1684086656
301	0.1679891512
302	0.1676449708
303	0.1672083837
304	0.1668645531
305	0.1664631917
306	0.1661957041
307	0.1658099373
308	0.1652529864
309	0.1648129901
310	0.1645825244
311	0.1640418612
312	0.1639901634
313	0.1637116457
314	0.1633388961
315	0.1627424438
316	0.1623342432
317	0.1619732367
318	0.1616413347
319	0.1611470174
320	0.1608306379
321	0.160691596
322	0.1602791289
323	0.1598970421
324	0.1592996025
325	0.1588752187
326	0.1583845762
327	0.1578565582
328	0.1575270266
329	0.1571862141
330	0.1568224581
331	0.1564552424
332	0.1560720271
333	0.155787829
334	0.1553239945
335	0.1549918162
336	0.1544819132
337	0.1541247176
338	0.1539346927
339	0.1535473669
340	0.1532096823
341	0.1528781991
342	0.1524672033
343	0.152068001
344	0.151731428
345	0.1512926128
346	0.1509473927
347	0.150682491
348	0.1503648582
349	0.1500346295
350	0.1496915839
351	0.1493190804
352	0.1489604798
353	0.1485990731
354	0.1484395692
355	0.1481401714
356	0.1476686065
357	0.147099549
358	0.1465821444
359	0.1462187051
360	0.1460254212
361	0.1457879192
362	0.1455907581
363	0.1452394188
364	0.1448817902
365	0.1446505309
366	0.1444975954
367	0.1441441667
368	0.1437070755
369	0.1433761457
370	0.1430999285
371	0.142904177
372	0.1428457807
373	0.142345053
374	0.1423130484
375	0.1419821492
376	0.141820699
377	0.1415413673
378	0.1411541917
379	0.1408261222
380	0.1404067398
381	0.1403088045
382	0.1400043272
383	0.1397349896
384	0.1393860999
385	0.1391990193
386	0.1388952545
387	0.1385356052
388	0.1381585502
389	0.1377780527
390	0.1374414357
391	0.1371169985
392	0.136862666
393	0.1366261382
394	0.1363793231
395	0.1362317286
396	0.1360406502
397	0.1358364306
398	0.135397453
399	0.1351074737
400	0.134747919
401	0.1345551317
402	0.1343496035
403	0.1339783831
404	0.1335613379
405	0.1332681971
406	0.1329069356
407	0.132877471
408	0.1326284854
409	0.1322633994
410	0.1320464534
411	0.1317220936
412	0.1316192867
413	0.1312065655
414	0.1309484018
415	0.130512822
416	0.1302065991
417	0.1298890307
418	0.1295336886
419	0.1292145247
420	0.1288302172
421	0.1285135173
422	0.1282246039
423	0.1279636931
424	0.1276087784
425	0.127393172
426	0.1272114375
427	0.1268907206
428	0.1264969734
429	0.1261786474
430	0.1259625445
431	0.1256449836
432	0.125556719
433	0.1251734935
434	0.124809828
435	0.1245432589
436	0.1243119283
437	0.1241482116
438	0.1238684688
439	0.1237945568
440	0.1235632854
441	0.1231332375
442	0.1231145052
443	0.123095193
444	0.1229063013
445	0.1228840463
446	0.1225739106
447	0.1222679103
448	0.1219243335
449	0.1217080056
450	0.1216202741
451	0.1213214935
452	0.1210585411
453	0.1208271871
454	0.1205530076
455	0.1202583548
456	0.1202462164
457	0.1202339842
458	0.1200472409
459	0.1197449429
460	0.1194729357
461	0.1192932987
462	0.1189459975
463	0.118587835
464	0.1182487001
465	0.1179456992
466	0.1177557776
467	0.1177269034
468	0.1175834007
469	0.1172206889
470	0.1169890236
471	0.1169717667
472	0.1166975997
473	0.1164487739
474	0.1161968575
475	0.1159372258
476	0.1157602612
477	0.1155225656
478	0.1153120767
479	0.1150972831
480	0.1150556334
481	0.1149788416
482	0.1146416945
483	0.1143845246
484	0.1141277244
485	0.1138291964
486	0.1136607
487	0.1134177431
488	0.113180094
489	0.1129190258
490	0.1127150141
491	0.11242733
492	0.1122883643
493	0.1121014113
494	0.1119925776
495	0.1116475373
496	0.111637154
497	0.1114917059
498	0.1112062614
499	0.1109544468
500	0.1106822359
501	0.1104439765
502	0.1102757324
503	0.1100760689
504	0.1100669396
505	0.1100585041
506	0.1099147185
507	0.1098568034
508	0.1096599747
509	0.1093323566
510	0.1091560912
511	0.1089357775
512	0.1086450414
513	0.1083614829
514	0.1081226475
515	0.1081141143
516	0.1079740562
517	0.1077904588
518	0.1075765845
519	0.1073135379
520	0.1070677732
521	0.106915263
522	0.1066499663
523	0.1064680417
524	0.1064532852
525	0.1062726723
526	0.1061055621
527	0.1058588265
528	0.1057074207
529	0.1055724502
530	0.1053627033
531	0.1051881533
532	0.1049099437
533	0.1045844223
534	0.1044337125
535	0.1041264854
536	0.1039722153
537	0.1039642474
538	0.1037867875
539	0.1037418305
540	0.1035965815
541	0.1034982934
542	0.1032010045
543	0.1029846477
544	0.1029767591
545	0.1028342425
546	0.1026177461
547	0.1023760397
548	0.1021444573
549	0.1019231271
550	0.1016890596
551	0.1015223799
552	0.1012743545
553	0.1011364576
554	0.1008787785
555	0.1007163133
556	0.1005440063
557	0.1003132832
558	0.1001106324
559	0.09980927136
560	0.09968408829
561	0.09956280632
562	0.0992933121
563	0.09928582062
564	0.09916374301
565	0.09900216202
566	0.09882395312
567	0.09859645947
568	0.0984043597
569	0.09823010233
570	0.09805333078
571	0.09792947388
572	0.09772906728
573	0.09757630461
574	0.09736951938
575	0.09709990443
576	0.0969180806
577	0.09691137361
578	0.09671234477
579	0.09652025339
580	0.09633473407
581	0.09612531774
582	0.09588882441
583	0.09563194863
584	0.0954073698
585	0.09529317028
586	0.0951508925
587	0.09494852378
588	0.09472706073
589	0.09454081169
590	0.09440561629
591	0.09417085921
592	0.09405939222
593	0.0938105872
594	0.09357229851
595	0.09347728842
596	0.0932809945
597	0.09311069236
598	0.09298245017
599	0.09264823198
600	0.09254370491
601	0.09229629739
602	0.09208321307
603	0.09189871275
604	0.09165774281
605	0.09155774719
606	0.09137879515
607	0.09116962451
608	0.09106522106
609	0.09093343134
610	0.09074401971
611	0.09052311375
612	0.09038775717
613	0.0902327691
614	0.09011399773
